[meta] uuid,Sports club,Political party,Church or other religious institution,"Other type of club (music / art, entertainment, social work etc.)",None of the above
165ac4c0-a4a5-0134-2fa2-0a62e1402143,TRUE,TRUE,TRUE,FALSE,FALSE
166a82c0-a38d-0134-0a9a-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1730cf50-9e0b-0134-cdd3-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
17a53c00-a49f-0134-139e-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
17c092d0-9dd4-0134-3d9c-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
180b8340-a4a1-0134-a9ec-0a62e1402143,FALSE,TRUE,FALSE,FALSE,FALSE
18295ef0-9de5-0134-a3d0-0aaafcbd6b1f,FALSE,FALSE,TRUE,TRUE,FALSE
182f8b40-9e63-0134-aded-0a62e1402143,FALSE,TRUE,FALSE,TRUE,FALSE
1895a370-9fe9-0134-5708-0aaafcbd6b1f,FALSE,TRUE,FALSE,TRUE,FALSE
189f7fb0-9eaa-0134-f935-0aaafcbd6b1f,TRUE,TRUE,TRUE,TRUE,FALSE
18c9bce0-9d3d-0134-f35a-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
18d6ab00-9dd1-0134-e951-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
191d4560-9d47-0134-ce04-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
19537c90-9def-0134-e1de-0aaafcbd6b1f,FALSE,FALSE,TRUE,TRUE,FALSE
19ac2390-9da7-0134-8678-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE
1a332e30-a3cc-0134-2f0e-0aaafcbd6b1f,TRUE,FALSE,FALSE,TRUE,FALSE
1a6767b0-9d82-0134-ef98-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1ac92dd0-9e7a-0134-8c4b-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1ae65ad0-a363-0134-9d9a-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
1af47730-9dd0-0134-4266-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE
1b6ac8f0-9e1f-0134-c87f-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
1bb41d50-9e12-0134-af8b-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
1bb9aac0-a041-0134-aac3-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1bf9a880-a040-0134-87a8-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1bfde130-9d69-0134-7bb5-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
1c57b3f0-9fe7-0134-4eaf-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
1cbab870-9e1a-0134-e6de-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
1cefff10-9de2-0134-ac9b-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
1d141ac0-9e36-0134-aa56-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
1d3591f0-9dac-0134-1502-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
1d3b6a00-9d3f-0134-67a8-0aaafcbd6b1f,TRUE,TRUE,TRUE,TRUE,FALSE
1d3ec020-9d62-0134-581a-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1d416710-9da1-0134-7d06-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1d475290-9e0e-0134-efbf-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1d804890-9ea2-0134-f0d9-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1d93f8d0-9f96-0134-ce23-0a62e1402143,FALSE,TRUE,FALSE,FALSE,FALSE
1e11be30-9dab-0134-11ff-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
1e3aeeb0-9df6-0134-32fe-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
1ee6af00-a042-0134-18b6-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
1f18f9e0-a38b-0134-0c38-0a62e1402143,TRUE,TRUE,TRUE,FALSE,FALSE
1f4ddad0-9e37-0134-273a-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
1fda5c30-9e0f-0134-7753-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
1fe4d040-a038-0134-b233-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE
1ff47e30-9d58-0134-bf4f-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
203e4a70-9d44-0134-8ebb-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE
20ca49c0-9ef0-0134-5492-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
20ce4e30-9de1-0134-90c0-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
20f0e8b0-a014-0134-d5b0-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
21a0b090-a065-0134-2185-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
21c32040-9e4a-0134-4844-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
21fe0b20-9db0-0134-1301-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
221c40c0-a03b-0134-57c5-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
22936870-a403-0134-2e89-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
22b00110-9dea-0134-99ad-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
22b37c40-9d72-0134-0459-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE
22cce5e0-9e3f-0134-3213-0a62e1402143,FALSE,FALSE,FALSE,TRUE,FALSE
23257610-9fe1-0134-3800-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
23406820-9d31-0134-9b11-0a62e1402143,FALSE,FALSE,FALSE,TRUE,FALSE
23c75100-9da0-0134-47a2-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
23e66a70-a042-0134-18db-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
23f720e0-9eac-0134-1b20-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
24469ec0-a060-0134-8be4-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
24ba1df0-9d92-0134-2ac9-0a62e1402143,TRUE,FALSE,TRUE,FALSE,FALSE
25367250-a3a5-0134-61b4-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
278ca180-9d8a-0134-cc51-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
27dee570-9f5d-0134-8246-0aaafcbd6b1f,FALSE,TRUE,TRUE,FALSE,FALSE
27ed9450-a38a-0134-c6cb-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
280ec740-9d99-0134-22dc-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
28327450-9e1d-0134-b206-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
28862400-9d93-0134-0840-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
28a5a530-9e12-0134-afe0-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
29187900-9d41-0134-2626-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
2927adf0-9de7-0134-563a-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
292a7420-9f77-0134-8f22-0a62e1402143,FALSE,TRUE,TRUE,FALSE,FALSE
294b7220-a057-0134-1881-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
29b527c0-9fbd-0134-318d-0aaafcbd6b1f,FALSE,TRUE,FALSE,FALSE,FALSE
29e1f9a0-9de2-0134-ace0-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
2a051fb0-9e5e-0134-ff40-0aaafcbd6b1f,FALSE,FALSE,TRUE,TRUE,FALSE
2a1a88f0-a04e-0134-8f99-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
2a8c3660-9d5a-0134-b41d-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
2b331fc0-9d8a-0134-e1e1-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
2b3aa2e0-a062-0134-449b-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
2b3f8430-9dfc-0134-d6f3-0a62e1402143,FALSE,TRUE,TRUE,FALSE,FALSE
2b82d0e0-9de5-0134-a44d-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
2b84f3e0-9e6e-0134-afb5-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
2bf602f0-9f49-0134-26da-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
2bfc9d20-a48b-0134-7f19-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
2c2e0b10-9e13-0134-9eb8-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
2cb36050-a063-0134-40bc-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
2cdf4980-a061-0134-c8be-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
2ce7e180-9de3-0134-b32f-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE
2ebac570-a3aa-0134-9aed-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
2f13ed30-9e19-0134-5e7b-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
2f346d40-a434-0134-05b1-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
2f7046e0-9f79-0134-a060-0aaafcbd6b1f,FALSE,TRUE,FALSE,FALSE,FALSE
2fac8270-9e49-0134-e35f-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
2fc88e90-9f7c-0134-87d7-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
2fcb3360-9ee3-0134-3680-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
3025bf10-9dcc-0134-81e5-0a62e1402143,TRUE,TRUE,FALSE,TRUE,FALSE
306efa00-a3fd-0134-c1bb-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
306fcaa0-9fd4-0134-e650-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
30c73970-a05c-0134-fc8e-0a62e1402143,FALSE,FALSE,FALSE,TRUE,FALSE
3135a470-a017-0134-9015-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
31d65a90-9f46-0134-32f4-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
31e1d480-9d9d-0134-f35c-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
31f86060-9d4a-0134-4de2-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
322fe460-9dfe-0134-6b80-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
3287b1d0-9fe5-0134-4739-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
32fe03a0-9d52-0134-d7e8-0a62e1402143,FALSE,FALSE,FALSE,TRUE,FALSE
336cbc70-9e57-0134-2fa5-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
