[meta] uuid,White (Caucasian),North African / Middle Eastern,Asian (includes Indian),Hispanic or Latino,Black,Other
8c31fd00-9dc5-0134-2d32-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
0984ef80-9d65-0134-f62d-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
35b85560-a037-0134-ad41-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ab78ec40-9d3c-0134-b31f-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
644ed330-9d47-0134-7fc2-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
f9fc4270-9df4-0134-e817-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ddbc9040-9d6b-0134-df84-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
09182670-9d3a-0134-4388-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
89886550-9e89-0134-a8e5-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9f745230-9d53-0134-0781-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4f901ae0-9edd-0134-57a0-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
aa137640-9d55-0134-241f-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
963e9440-9d37-0134-17f7-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
deaf3500-9d4e-0134-ee2f-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6a085d00-9dde-0134-b6a4-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
800581d0-9d52-0134-51da-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ea98bd20-9def-0134-3590-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
e77d7e20-a03a-0134-dfa4-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
25dd1a20-9f51-0134-40ac-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
